"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P1";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ISP";;;
2;"P2";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"UART";;;
3;"U1";"TO-252-2Lead";1;"78M33C";;;
4;"Q3";"SOT-23";1;"BC807-40";;;
5;"Q2";"SOT-23";1;"BC817-40";;;
6;"P4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Vin";;;
7;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328P-A";;;
8;"D2";"SOIC-4";1;"D_BRIDGE";;;
9;"D1";"LED-3MM-SMD";1;"SFH4356";;;
10;"Q1";"LED-3MM-SMD";1;"SFH309FA-4";;;
11;"SW1";"4FSH9XX";1;"SW_LED2";;;
12;"P3";"105162-0101";1;"microSD_SPI";;;
13;"Y1";"SMD_7x4";1;"16MHz";;;
14;"C1,C2,C3,C4,C5";"C_0603_HandSoldering";5;"100n";;;
15;"C6,C7";"C_0603_HandSoldering";2;"22p";;;
16;"C8,C10";"C_0603_HandSoldering";2;"1µ";;;
17;"C9";"C_0603_HandSoldering";1;"2µ2";;;
18;"R1,R2,R4,R5,R6,R7,R8,R12";"R_0603_HandSoldering";8;"10k";;;
19;"R3,R9,R11";"R_0603_HandSoldering";3;"12k";;;
20;"R10";"R_0603_HandSoldering";1;"470";;;
21;"R13";"R_0603_HandSoldering";1;"220";;;
